name;deviceVersion;applicationName;sysOid;dfield;description;virtualDeviceName;preDefined;defaultIconId;categoryId;link;seriesId;id;defaultTopoIconId
Avaya P120;N/A;QuidviewLM;1.3.6.1.4.1.81.17.2.11;;cajunP120;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/787', '@rel': 'self', '@op': 'GET'};600;787;1105
Avaya P330R;N/A;QuidviewRM;1.3.6.1.4.1.81.17.2.13;;Avaya P330R Router-if;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/788', '@rel': 'self', '@op': 'GET'};599;788;1104
Avaya ATM;N/A;QuidviewLM;1.3.6.1.4.1.81.17.2.15;;Avaya ATM Uplink;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/789', '@rel': 'self', '@op': 'GET'};599;789;1113
Avaya P330-LB;N/A;QuidviewRM;1.3.6.1.4.1.81.17.2.16;;Avaya P330-LB Router-if;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/790', '@rel': 'self', '@op': 'GET'};599;790;1104
Avaya C363;N/A;QuidviewLM;1.3.6.1.4.1.81.17.2.17;;Avaya C363 Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/791', '@rel': 'self', '@op': 'GET'};599;791;1105
Avaya Cajun Generic;N/A;QuidviewLM;1.3.6.1.4.1.1751.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Avaya subtree;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/792', '@rel': 'self', '@op': 'GET'};600;792;1105
Avaya L2P550;N/A;QuidviewLM;1.3.6.1.4.1.1751.1.45.1;;cajunL2P550;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/793', '@rel': 'self', '@op': 'GET'};600;793;1105
Avaya L3P550;N/A;QuidviewRM;1.3.6.1.4.1.1751.1.45.2;;cajunL3P550;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/794', '@rel': 'self', '@op': 'GET'};600;794;1104
Avaya L3P660;N/A;QuidviewLM;1.3.6.1.4.1.1751.1.45.6;;cajunL3P660;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/795', '@rel': 'self', '@op': 'GET'};600;795;1105
Avaya P850;N/A;QuidviewRM;1.3.6.1.4.1.1751.1.45.7;;cajunP850;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/796', '@rel': 'self', '@op': 'GET'};600;796;1104
Avaya P580L3;N/A;QuidviewRM;1.3.6.1.4.1.1751.1.45.8;;cajunP580L3;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/797', '@rel': 'self', '@op': 'GET'};600;797;1104
Avaya L3P850;N/A;QuidviewLM;1.3.6.1.4.1.1751.1.45.9;;cajunL3P850;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/798', '@rel': 'self', '@op': 'GET'};600;798;1105
Avaya P882L3;N/A;QuidviewRM;1.3.6.1.4.1.1751.1.45.10;;cajunP882L3;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/799', '@rel': 'self', '@op': 'GET'};600;799;1104
Avaya S8100;N/A;QuidviewLM;1.3.6.1.4.1.1751.1.49;;AvayaDEFINITY S8100 IP600/D1 Media Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/800', '@rel': 'self', '@op': 'GET'};601;800;1108
Avaya VSU Generic;N/A;QuidviewLM;1.3.6.1.4.1.1866.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Avaya subtree;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/801', '@rel': 'self', '@op': 'GET'};604;801;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.1;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/802', '@rel': 'self', '@op': 'GET'};604;802;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.2;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/803', '@rel': 'self', '@op': 'GET'};604;803;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.3;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/804', '@rel': 'self', '@op': 'GET'};604;804;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.4;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/805', '@rel': 'self', '@op': 'GET'};604;805;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.5;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/806', '@rel': 'self', '@op': 'GET'};604;806;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.6;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/807', '@rel': 'self', '@op': 'GET'};604;807;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.7;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/808', '@rel': 'self', '@op': 'GET'};604;808;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.8;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/809', '@rel': 'self', '@op': 'GET'};604;809;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.9;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/810', '@rel': 'self', '@op': 'GET'};604;810;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.10;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/811', '@rel': 'self', '@op': 'GET'};604;811;1106
Avaya VSU;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.11;;Avaya VSU VPN Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/812', '@rel': 'self', '@op': 'GET'};604;812;1106
Avaya VSUSG5x;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.12;;Avaya VSU VPN SG5X Gateway;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/813', '@rel': 'self', '@op': 'GET'};604;813;1106
Avaya VSU200;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.14;;Avaya VSU VPN Gateway 200 3DES Encryption;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/814', '@rel': 'self', '@op': 'GET'};604;814;1106
Avaya VSU200;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.17;;Avaya VSU VPN Gateway 203 3DES Encryption;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/815', '@rel': 'self', '@op': 'GET'};604;815;1106
Avaya VSU200;N/A;QuidviewLM;1.3.6.1.4.1.1866.1.18;;Avaya VSU VPN Gateway 208 3DES Encryption;CThirdPartySnmpDevice;true;3;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/816', '@rel': 'self', '@op': 'GET'};604;816;1106
Avaya Generic;N/A;QuidviewLM;1.3.6.1.4.1.6889.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Avaya subtree;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/817', '@rel': 'self', '@op': 'GET'};599;817;1113
Avaya IPOffice403;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.2.1.2.2;;403 IP Office Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/818', '@rel': 'self', '@op': 'GET'};602;818;1112
Avaya IPOffice401;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.2.1.5.4;;401 IP Office Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/819', '@rel': 'self', '@op': 'GET'};602;819;1112
Avaya S8500;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.5.1;;AvayaDEFINITY S8500 Media Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/820', '@rel': 'self', '@op': 'GET'};601;820;1108
Avaya PortNetwork;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.0.1;;Avaya Port Network;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/821', '@rel': 'self', '@op': 'GET'};599;821;1105
Avaya Carrier;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.0.2;;Avaya Carrier;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/822', '@rel': 'self', '@op': 'GET'};599;822;1105
Avaya G350;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.0.3;;AvayaDEFINITY G350 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/823', '@rel': 'self', '@op': 'GET'};599;823;1122
Avaya G700;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.0.4;;AvayaDEFINITY G700 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/824', '@rel': 'self', '@op': 'GET'};599;824;1122
Avaya G3Proxy;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.40;;AvayaDEFINITY G3 Proxy Agent;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/825', '@rel': 'self', '@op': 'GET'};601;825;1113
Avaya VAL;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.45;;AvayaDEFINITY VAL;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/826', '@rel': 'self', '@op': 'GET'};601;826;1113
Avaya CLAN;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.46;;AvayaDEFINITY CLAN VD+;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/827', '@rel': 'self', '@op': 'GET'};601;827;1113
Avaya S8700m;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.49;;AvayaDEFINITY S8700/Stingray Media Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/828', '@rel': 'self', '@op': 'GET'};601;828;1108
Avaya S8300;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.50;;AvayaDEFINITY S8300/Chawk Media Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/829', '@rel': 'self', '@op': 'GET'};601;829;1108
Avaya S8700i;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.51;;AvayaDEFINITY S8700/Seagull Media Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/830', '@rel': 'self', '@op': 'GET'};601;830;1108
Avaya S8500;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.8.1.52;;AvayaDEFINITY S8500 Media Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/831', '@rel': 'self', '@op': 'GET'};601;831;1108
Avaya G700;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.9;;AvayaDEFINITY G700 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/832', '@rel': 'self', '@op': 'GET'};601;832;1122
Avaya P580L3;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.2;;cajunP580L3;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/833', '@rel': 'self', '@op': 'GET'};600;833;1105
Avaya P882L3;N/A;QuidviewRM;1.3.6.1.4.1.6889.1.45.10;;cajunP882L3;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/834', '@rel': 'self', '@op': 'GET'};600;834;1104
Avaya X330W-2DS1;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.101.2;;X330W-2DS1 WAN;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/835', '@rel': 'self', '@op': 'GET'};599;835;1113
Avaya X330W-2USP;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.101.3;;X330W-2USP WAN;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/836', '@rel': 'self', '@op': 'GET'};599;836;1113
Avaya P460;N/A;QuidviewRM;1.3.6.1.4.1.6889.1.45.103.1;;Avaya P460 Multi-layer Switch;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/837', '@rel': 'self', '@op': 'GET'};599;837;1104
Avaya G350;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.2;;AvayaDEFINITY G350 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/838', '@rel': 'self', '@op': 'GET'};601;838;1122
Avaya G250-ANALOG;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.4;;AvayaDEFINITY G250-ANALOG Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/839', '@rel': 'self', '@op': 'GET'};601;839;1122
Avaya G250-BRI;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.5;;AvayaDEFINITY G250-BRI Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/840', '@rel': 'self', '@op': 'GET'};601;840;1122
Avaya G250-DS1;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.6;;AvayaDEFINITY G250-DS1 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/841', '@rel': 'self', '@op': 'GET'};601;841;1122
Avaya G250-DCP;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.7;;AvayaDEFINITY G250-DCP Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/842', '@rel': 'self', '@op': 'GET'};601;842;1122
Avaya G450;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.8;;AvayaDEFINITY G450 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/843', '@rel': 'self', '@op': 'GET'};601;843;1122
Avaya G250-A14;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.9;;AvayaDEFINITY G250-14 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/844', '@rel': 'self', '@op': 'GET'};601;844;1122
Avaya TGM550;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.10;;AvayaDEFINITY TGM550 Media Gateway Module;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/845', '@rel': 'self', '@op': 'GET'};601;845;1122
Avaya TRM480;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.15;;AvayaDEFINITY TRM480 Media Gateway Module;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/846', '@rel': 'self', '@op': 'GET'};601;846;1122
Avaya G430;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.41;;AvayaDEFINITY G430 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/847', '@rel': 'self', '@op': 'GET'};601;847;1122
Avaya G860;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.45.103.42;;AvayaDEFINITY G860 Media Gateway;CThirdPartySnmpDevice;true;14;12;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/848', '@rel': 'self', '@op': 'GET'};601;848;1122
Avaya 4624;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.1;;4624 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/849', '@rel': 'self', '@op': 'GET'};602;849;1112
Avaya 4612;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.2;;4612 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/850', '@rel': 'self', '@op': 'GET'};602;850;1112
Avaya 4606;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.3;;4606 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/851', '@rel': 'self', '@op': 'GET'};602;851;1112
Avaya 4630;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.4;;4630 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/852', '@rel': 'self', '@op': 'GET'};602;852;1112
Avaya 4620;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.5;;4620 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/853', '@rel': 'self', '@op': 'GET'};602;853;1112
Avaya 4602;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.6;;4602 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/854', '@rel': 'self', '@op': 'GET'};602;854;1112
Avaya 4610;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.7;;4610 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/855', '@rel': 'self', '@op': 'GET'};602;855;1112
Avaya 4690;N/A;QuidviewLM;1.3.6.1.4.1.6889.1.69.1.8;;4690 IP Phone;CThirdPartySnmpDevice;true;6;6;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/856', '@rel': 'self', '@op': 'GET'};602;856;1112
Axis Communications Generic;N/A;QuidviewLM;1.3.6.1.4.1.368.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Axis Communications subtree;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/857', '@rel': 'self', '@op': 'GET'};607;857;1113
Axis 5600;N/A;QuidviewLM;1.3.6.1.4.1.368.1.1;;Axis Communications 5600 Network Print Server;CThirdPartySnmpDevice;true;7;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/858', '@rel': 'self', '@op': 'GET'};608;858;1110
BATM Telco Systems Generic;N/A;QuidviewLM;1.3.6.1.4.1.738.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a BATM Telco Systems subtree;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/859', '@rel': 'self', '@op': 'GET'};609;859;1105
BATM T4;N/A;QuidviewLM;1.3.6.1.4.1.738.1.5.100.1.1.1;;BATM Telco Systems T4 Ethernet Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/860', '@rel': 'self', '@op': 'GET'};609;860;1105
BATM T5C;N/A;QuidviewLM;1.3.6.1.4.1.738.1.5.100.1.1.7;;BATM Telco Systems T5C Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/861', '@rel': 'self', '@op': 'GET'};609;861;1105
BATM T-Metro;N/A;QuidviewLM;1.3.6.1.4.1.738.1.5.100.1.1.19;;BATM Telco Systems T-Metro Carrier Ethernet Multiservice Access Platform;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/862', '@rel': 'self', '@op': 'GET'};610;862;1105
Broadband Access Systemes Generic;N/A;QuidviewLM;1.3.6.1.4.1.3493.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Broadband Access Systems subtree;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/863', '@rel': 'self', '@op': 'GET'};615;863;1113
BAS Cluster;N/A;QuidviewLM;1.3.6.1.4.1.3493.4.1.2.0.6;;Broadband Access Systems Cluster Manager;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/864', '@rel': 'self', '@op': 'GET'};616;864;1113
BAS Cluster;N/A;QuidviewLM;1.3.6.1.4.1.3493.4.1.2.1.8;;Broadband Access Systems Cluster Manager;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/865', '@rel': 'self', '@op': 'GET'};616;865;1113
BAS Cluster;N/A;QuidviewLM;1.3.6.1.4.1.3493.4.1.3.0.29;;Broadband Access Systems Cluster Manager;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/866', '@rel': 'self', '@op': 'GET'};616;866;1113
BAS Cluster;N/A;QuidviewLM;1.3.6.1.4.1.3493.4.1.3.1.38;;Broadband Access Systems Cluster Manager;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/867', '@rel': 'self', '@op': 'GET'};616;867;1113
BAS Cluster Serial;N/A;QuidviewLM;1.3.6.1.4.1.3493.4.1.3.1.39;;Broadband Access Systems Cluster Manager Serial;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/868', '@rel': 'self', '@op': 'GET'};616;868;1113
BAS Route Server;N/A;QuidviewLM;1.3.6.1.4.1.3493.5.1.1.0.30;;Broadband Access Systems Route Server;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/869', '@rel': 'self', '@op': 'GET'};617;869;1108
Brocade Generic;N/A;QuidviewLM;1.3.6.1.4.1.1588.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Brocade subtree;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/870', '@rel': 'self', '@op': 'GET'};618;870;1105
Brocade Switch;N/A;QuidviewLM;1.3.6.1.4.1.1588.2.1.1;;Brocade Fibre Channel Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/871', '@rel': 'self', '@op': 'GET'};619;871;1105
Brocade 2109-F16;N/A;QuidviewLM;1.3.6.1.4.1.1588.2.1.1.1;;IBM OEM Brocade SAN Switch 2109-F16 (equivalent to Brocade SilkWorm 3800);CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/872', '@rel': 'self', '@op': 'GET'};994;872;1105
Brocade 2800;N/A;QuidviewLM;1.3.6.1.4.1.1588.2.1.1.2;;Brocade 2800 Silkworm FibreChannel Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/873', '@rel': 'self', '@op': 'GET'};621;873;1105
Brocade Switch;N/A;QuidviewLM;1.3.6.1.4.1.1588.2.1.1.27;;Brocade Fibre Channel Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/874', '@rel': 'self', '@op': 'GET'};619;874;1105
Brocade McData Generic;N/A;QuidviewLM;1.3.6.1.4.1.289.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Brocade McData subtree;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/875', '@rel': 'self', '@op': 'GET'};620;875;1105
Brocade McDataed-1032-5000;N/A;QuidviewLM;1.3.6.1.4.1.289.2.1.1.1;;McData ed-1032, ed-5000 Fibre Channel Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/876', '@rel': 'self', '@op': 'GET'};620;876;1105
Brocade McDataef-6000;N/A;QuidviewLM;1.3.6.1.4.1.289.2.1.1.2;;McData ef-6000 Fibre Channel Switch (Sphereon 4500);CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/877', '@rel': 'self', '@op': 'GET'};620;877;1105
Brocade McDataes-1000;N/A;QuidviewLM;1.3.6.1.4.1.289.2.1.1.3;;McData es-1000 Fibre Channel Switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/878', '@rel': 'self', '@op': 'GET'};620;878;1105
Bytemobile Generic;N/A;QuidviewLM;1.3.6.1.4.1.8521.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Bytemobile subtree;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/879', '@rel': 'self', '@op': 'GET'};622;879;1113
Bytemobile Agent;N/A;QuidviewLM;1.3.6.1.4.1.8521.1.3;;Bytemobile Agent;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/880', '@rel': 'self', '@op': 'GET'};622;880;1108
Cabletron Generic;N/A;QuidviewLM;1.3.6.1.4.1.97.*;;No Device Profile found for this device. The assigned SNMP OID is the top of a Cabletron subtree;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/881', '@rel': 'self', '@op': 'GET'};623;881;1105
Cabletron SXHW;N/A;QuidviewLM;1.3.6.1.4.1.97.2.1;;Cabletron FastNetwork 10 switch;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/882', '@rel': 'self', '@op': 'GET'};623;882;1105
Cabletron ELS10-26TX;N/A;QuidviewLM;1.3.6.1.4.1.97.5.7;;Vertical Horizon (formerly SmartStack) ELS10-26TX SmartSTACK Ethernet Switch (25 Port 10Base-T Ethernet Switch, Fixed 100Base-TX and Modular 100Base-X Uplink);CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/883', '@rel': 'self', '@op': 'GET'};624;883;1105
